IMO,MMSI,Name,Type_Code,Type,Length_m,Beam_m,Draught_m,Flag,Nav_Status,SOG_kn,Callsign,Destination,Latitude,Longitude,Last_Seen
,470007912,,,,,,,UAE,Not Defined,0,,,25.182952,55.202558,2026-03-02 06:36:06 UTC
,470356000,,,,,,,UAE,,0,,,25.174512,55.2154,2026-03-02 06:56:31 UTC
,232063467,A-SEA,,,,,,UK,,0,,,25.239045,55.251323,2026-03-02 06:55:11 UTC
,470530000,ABDUL SATTAR 2006,,,,,,UAE,Moored,0,,,25.272047,55.25903,2026-03-02 06:40:03 UTC
,636014923,ABU DHABI III,,,,,,Liberia,At Anchor,102.2,,,23.968368,52.206392,2026-03-02 06:57:00 UTC
,300000000,AL FAHEDI,,,,,,,Moored,0.2,,,25.196685,55.22618,2026-03-02 06:51:36 UTC
,403101001,AL HABIBAH,,,,,,Saudi Arabia,At Anchor,1.1,,,25.530562,55.02514,2026-03-02 06:50:18 UTC
9506605,471164000,AL JAMOH,52,Tug,32,9,4,UAE,Towing Astern,0.7,A6E3064,RAK,25.179192,55.212923,2026-03-02 06:41:31 UTC
9923085,636021498,AL SALAM,80,Tanker,230,36,10.6,Liberia,At Anchor,14,5LEF7,DUBAI ANCHORAGE,25.298082,55.02404,2026-03-02 06:51:25 UTC
,447158000,AL SALAM II,,,,,,Kuwait,At Anchor,9.2,,,25.344245,55.075162,2026-03-02 06:47:22 UTC
,470091000,AL WASL,,,,,,UAE,Under Way (Engine),1.6,,,25.27112,55.259018,2026-03-02 06:36:19 UTC
9498896,636092915,ALBERT OLDENDORFF,70,Cargo,230,38,7.2,Liberia,Moored,1.2,D5OX8,AEDXB DRYDOCK,25.247528,55.262198,2026-03-02 06:56:30 UTC
,403715910,ARABDRILL 17,,,,,,Saudi Arabia,Restricted Manoeuvrability,9.4,,,25.262207,55.262712,2026-03-02 06:56:06 UTC
,471037000,ARRAKIS,,,,,,UAE,,0,,,25.174863,55.216132,2026-03-02 06:52:19 UTC
9249063,408687000,BAK-20,32,Towing,31,10,4.5,Bahrain,Restricted Manoeuvrability,0.8,A9LG,STEVIN ROCK,25.201358,55.203428,2026-03-02 06:55:56 UTC
,235083529,BARDSEY ISLAND,,,,,,UK,Restricted Manoeuvrability,0,,,25.172472,55.208717,2026-03-02 06:56:43 UTC
9923097,636021499,BAYNOUNAH,80,Tanker,230,36,10,Liberia,At Anchor,0,5LEF8,AE DXB,25.44616,55.042085,2026-03-02 06:47:20 UTC
,408833000,BBT-105,,,,,,Bahrain,Under Way (Sailing),0,,,25.261967,55.25826,2026-03-02 06:36:22 UTC
1011513,319065700,BLISS,37,Pleasure Craft,52,9,2.4,Cayman Is.,Moored,1,ZGEA5,JUMADA ANCHORAGE,25.2106,55.233607,2026-03-02 06:56:18 UTC
,470009199,BLUE SHARK 13,,,,,,UAE,Under Way (Engine),7.1,,,25.17987,55.212567,2026-03-02 06:56:39 UTC
,319599000,BOSS,,,,,,Cayman Is.,Moored,0,,,25.210497,55.233733,2026-03-02 06:45:22 UTC
9257230,564959000,BRITOIL 41,52,Tug,60,18,5.8,Singapore,Moored,0.4,9V5787,AT AMCHOR,25.24618,55.265228,2026-03-02 06:55:20 UTC
,566921000,BRITOIL CENTURION,,,,,,Singapore,Moored,102.2,,,23.960643,52.208112,2026-03-02 06:40:22 UTC
,245048000,COASTAL BOXER,,,,,,Netherlands,Under Way (Engine),102.2,,,23.96032,52.208202,2026-03-02 06:48:45 UTC
9450258,244811000,COASTAL VICTORY,52,Tug,30,9,3.2,Netherlands,Under Way (Sailing),0.1,PHLJ,UMM SUQEIM DUBAI,25.171107,55.194072,2026-03-02 06:38:39 UTC
,244810178,CONQUEST MB1,,,,,,Netherlands,At Anchor,1.4,,,25.261,55.259567,2026-03-02 06:40:41 UTC
9337171,477242700,COSPEARL LAKE,80,Tanker,330,60,10.5,Hong Kong,At Anchor,102.2,VRMH6,PORT RASHID,23.971768,52.245383,2026-03-02 06:49:45 UTC
,246862000,CRONUS,,,,,,Netherlands,Moored,0,,,25.176992,55.21422,2026-03-02 06:40:09 UTC
,352004406,DANISA,,,,,,Panama,At Anchor,102.3,,,23.957822,52.209767,2026-03-02 06:46:43 UTC
1010662,470229000,DEEP BREATH,37,Pleasure Craft,68,12,3.7,UAE,At Anchor,1.3,A6E2163,BULGARI  ANCHORAGE,25.214317,55.22015,2026-03-02 06:51:00 UTC
,419531000,DESH VAIBHAV,,,,,,India,Under Way (Engine),5.4,,,23.983517,52.23965,2026-03-02 06:43:43 UTC
7314149,470890000,DUBAI SHADOW,60,Passenger,79,12,4.9,UAE,Moored,0,A6E3048,S T - PR28,25.269217,55.275233,2026-03-02 06:47:53 UTC
,470358000,ERRAI,,,,,,UAE,,0.1,,,25.174845,55.216147,2026-03-02 06:56:31 UTC
9937103,538010890,FRONT BEAULY,80,Tanker,328,60,20.5,Marshall Is.,At Anchor,102.2,V7A6282,GALLE FOR ORDERS,23.963787,52.2454,2026-03-02 06:39:29 UTC
,636026080,FUJAIRAH ENERGY,,,,,,Liberia,At Anchor,102.2,,,23.97903,52.210378,2026-03-02 06:52:35 UTC
9735361,356593000,GEM NO.1,80,Tanker,330,60,11,Panama,At Anchor,9.6,HOCK,FOR ORDERS,25.448717,55.057873,2026-03-02 06:40:48 UTC
,636022731,GMS CONTINUITY,,,,,,Liberia,Moored,0.1,,,25.265023,55.258357,2026-03-02 06:50:50 UTC
111111100,244030951,GTO 202,90,Other,50,13,,Netherlands,Restricted Manoeuvrability,0,PCSD,DUBAI,25.178323,55.212855,2026-03-02 06:56:48 UTC
9500730,538004577,HABRUT,80,Tanker,333,60,11,Marshall Is.,At Anchor,102.2,V7XU9,XX XXX>AE DXB,23.951998,52.23728,2026-03-02 06:52:17 UTC
9229556,245508000,HAM 318,33,Dredger,227,32,11.5,Netherlands,At Anchor,0,PBDJ,DREDGE-DISCH. AREA,25.183025,55.172932,2026-03-02 06:56:33 UTC
,352006106,HEA CALYPSO,,,,,,Panama,Moored,0,,,25.272675,55.259638,2026-03-02 06:43:54 UTC
1078470,352006184,HEA ECO 4,90,Other,70,18,4.5,Panama,Moored,0,3E7808,DUBAI DMC,25.271868,55.257452,2026-03-02 06:45:15 UTC
,341630000,HUDA,,,,,,St Kitts,At Anchor,102.2,,,23.985995,52.222192,2026-03-02 06:37:41 UTC
,636023683,IRENES RESPECT,,,,,,Liberia,At Anchor,0,,,25.413747,55.063068,2026-03-02 06:56:57 UTC
,538010225,IRON MAIDEN,,,,,,Marshall Is.,Under Way (Engine),12,,,25.221625,54.911218,2026-03-02 06:40:27 UTC
8963997,236738000,ISABELL,37,Pleasure Craft,64,10,3.3,Gibraltar,Moored,2.5,ZDRX3,RASHID MARINA DUBAI,25.262172,55.275102,2026-03-02 06:56:02 UTC
,403783170,JANA 34,,,,,,Saudi Arabia,Moored,2.3,,,25.27343,55.261183,2026-03-02 06:43:16 UTC
9928487,538072109,JIMMY,37,Pleasure Craft,50,9,,Marshall Is.,Moored,0.1,V7A6407,,25.210565,55.234047,2026-03-02 06:54:56 UTC
9164627,374228000,KHALEJIA ANA 3,70,Cargo,225,32,6.5,Panama,Under Way (Engine),0.5,3FLA6,DUBAI DOCK,25.247863,55.26237,2026-03-02 06:56:31 UTC
,232032637,LEGENDE,,,,,,UK,Moored,0,,,25.209288,55.234965,2026-03-02 06:36:53 UTC
,470000000,M100T,52,Tug,18,8,2,UAE,Restricted Manoeuvrability,1.5,_,DUBAI,25.176313,55.201155,2026-03-02 06:56:11 UTC
9175676,511101492,MAR 28,36,Sailing,88,8,2.7,,Not Under Command,0.4,T8A4880,KHALBA  KHORFAKN,25.23198,55.2507,2026-03-02 06:47:54 UTC
,232055078,MASQUERADE I,,,,,,UK,,0.2,,,25.210088,55.19253,2026-03-02 06:57:00 UTC
9161194,352003216,MAYYUN QASWARAH,70,Cargo,153,23,7,Panama,Moored,102.3,3E6078,AE DUBAI DMC,25.2622,55.257922,2026-03-02 06:55:43 UTC
,471626000,MOANA,,,,,,UAE,,1.3,,,25.18404,55.202142,2026-03-02 06:51:03 UTC
9510591,636020734,MONJASA SHAKER,82,Tanker (DG),118,19,5.4,Liberia,At Anchor,1.2,5LAL3,AE DXB,25.334258,55.069352,2026-03-02 06:56:33 UTC
,518998457,MT PHOENIX,,,,,,,Moored,0.7,,,25.276163,55.258983,2026-03-02 06:45:02 UTC
1000000,470111111,NASHWAN,16,Type 16,43,16,2,UAE,Moored,0.1,,MOON ISLAND,25.20914,55.234628,2026-03-02 06:55:49 UTC
,538005015,NAVE RIGEL,,,,,,Marshall Is.,At Anchor,0,,,23.949678,52.22924,2026-03-02 06:40:51 UTC
,511101558,NIBA,,,,,,,Moored,8.6,,,25.250818,55.261677,2026-03-02 06:56:50 UTC
9513945,377709000,OCEAN CLEVER,52,Tug,61,16,4.2,St Vincent,Moored,0,J8B6044,DMC-DUBAI,25.269655,55.256742,2026-03-02 06:47:31 UTC
,636025158,OCEAN ENERGY,,,,,,Liberia,Under Way (Engine),102.3,,,23.980262,52.211677,2026-03-02 06:52:33 UTC
9500338,636025160,OCEAN OPAL,31,Towing,36,10,3,Liberia,At Anchor,27.4,5LWC4,USI JEBELALI,25.19762,55.210602,2026-03-02 06:47:27 UTC
,352001292,ORIENTAL GERBERA,,,,,,Panama,Moored,1.8,,,25.248338,55.265737,2026-03-02 06:55:38 UTC
1038547,377235000,P&O OCEANIA,52,Tug,32,12,5.8,St Vincent,Moored,1.3,J8B6753,PORT RASHID,25.268455,55.274813,2026-03-02 06:50:14 UTC
,352005674,PACIFIC 38,,,,,,Panama,At Anchor,0.9,,,25.433762,55.083447,2026-03-02 06:55:03 UTC
9881005,319187800,PLATINUM,37,Pleasure Craft,78,14,3.7,Cayman Is.,Moored,0.3,ZGRZ8,MINA RASHID,25.261992,55.2745,2026-03-02 06:56:12 UTC
,470698000,QARNIN,,,,,,UAE,Not Under Command,102.3,,,23.956183,52.211048,2026-03-02 06:38:22 UTC
,572525220,RAWABI 208,,,,,,,Moored,2.9,,,25.272772,55.260382,2026-03-02 06:47:45 UTC
,403283690,RAWABI 5,,,,,,Saudi Arabia,Under Way (Engine),0,,,25.265243,55.257365,2026-03-02 06:40:20 UTC
9754276,572584220,RAWABI 61,70,Cargo,66,16,3.9,,Moored,102.2,T2WX5,DMC-DUBAI,23.95294,52.214867,2026-03-02 06:40:36 UTC
,572765220,RAWABI 73,,,,,,,Moored,0,,,25.270573,55.25703,2026-03-02 06:40:26 UTC
,470014000,RAZEEN1,,,,,,UAE,Not Defined,1.2,,,25.419652,54.920992,2026-03-02 06:47:34 UTC
,636026077,ROTTERDAM ENERGY,,,,,,Liberia,At Anchor,1.1,,,25.372268,55.05116,2026-03-02 06:28:50 UTC
7924425,305038300,SAPHIRA,70,Cargo,186,32,7.3,Antigua,Moored,0,V2B2038,DUBAI,25.252783,55.26725,2026-03-02 06:49:18 UTC
,538005632,SARV SHAKTI,,,,,,Marshall Is.,At Anchor,47.6,,,24.248825,52.942442,2026-03-02 06:56:46 UTC
,352978118,SEAMEC PALADIN,,,,,,Panama,Moored,0.1,,,25.248238,55.266153,2026-03-02 06:56:03 UTC
,378114627,SHELLY,,,,,,BVI,,0,,,25.238702,55.251012,2026-03-02 06:56:18 UTC
,538010197,SINGAPORE LOYALTY,,,,,,Marshall Is.,At Anchor,1.8,,,25.427845,55.021112,2026-03-02 06:57:07 UTC
,636020364,SOLAR ROMA,,,,,,Liberia,At Anchor,0.1,,,25.433777,55.056085,2026-03-02 06:47:45 UTC
,538010676,ST. NIKOLAS,,,,,,Marshall Is.,Moored,3.2,,,25.250972,55.267993,2026-03-02 06:46:46 UTC
,352001834,STANFORD BRAVO,,,,,,Panama,Moored,2.2,,,25.26891,55.260068,2026-03-02 06:55:30 UTC
,376955000,STANFORD HAWK,,,,,,St Vincent,Moored,0,,,25.272643,55.259498,2026-03-02 06:45:57 UTC
,377439000,STANFORD PROVIDER,,,,,,St Vincent,Moored,5.4,,,25.26899,55.256307,2026-03-02 06:54:04 UTC
,256349000,STELLATA,,,,,,Malta,Moored,23.1,,,25.250163,55.267487,2026-03-02 06:38:44 UTC
,312787000,STINGRAY,,,,,,Belize,Moored,0.1,,,25.245965,55.264783,2026-03-02 06:31:07 UTC
,377493000,SWISSCO JUPITER,,,,,,St Vincent,Moored,0,,,25.269753,55.276068,2026-03-02 06:40:09 UTC
,422881200,TANDIS 31,,,,,,Iran,Not Under Command,0.1,,,25.266618,55.26058,2026-03-02 06:52:46 UTC
,538007319,TOPAZ AMUR,,,,,,Marshall Is.,Moored,0,,,25.249023,55.265357,2026-03-02 06:29:50 UTC
9816971,538007324,TOPAZ VOLGA,70,Cargo,123,16,3,Marshall Is.,Moored,0.1,V7JE8,AE DXB,25.246692,55.263523,2026-03-02 06:56:26 UTC
8224561,470004823,TUG GULF DOLPHIN,52,Tug,21,7,3,UAE,Under Way (Sailing),11.2,A6E4823,NAIAPR0JECT,25.17633,55.201215,2026-03-02 06:56:26 UTC
,565869000,VALLIANZ SUPREME,,,,,,Singapore,Moored,5,,,25.271855,55.260403,2026-03-02 06:49:12 UTC
9449065,210621000,WILLEM VAN ORANJE,33,Dredger,137,28,10,Cyprus,At Anchor,102.2,5BVU3,DREDGING DUBAI,23.949663,52.227665,2026-03-02 06:47:06 UTC
9978054,413563030,XIN ZI LANG 6,33,Dredger,171,36,6.4,China,At Anchor,0.3,BPKZ3,ANNABA,25.42577,55.071568,2026-03-02 06:48:59 UTC
,319062900,Z,,,,,,Cayman Is.,Moored,0.1,,,25.262117,55.275362,2026-03-02 06:36:36 UTC
